# Dirsearch started Thu Nov 10 02:10:26 2022 as: ./dirsearch.py -w /usr/share/wordlists/SecLists/Discovery/Web-Content/raft-medium-words.txt -e php -f -t 50 -u http://metapress.htb/events/ -o /home/kali/HTB/Machines/MetaTwo_NF/recon/events/raft-medium-words.txt

301     0B   http://metapress.htb/events/99/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/99    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/62/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/70    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/70/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/62    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/90    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/90/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/61/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/61    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/53/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/65    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/53    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/65/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/98    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/98/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/73/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/73    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/rss2/    -> REDIRECTS TO: http://metapress.htb/events/feed/
301     0B   http://metapress.htb/events/rss2    -> REDIRECTS TO: http://metapress.htb/events/feed/
301     0B   http://metapress.htb/events/72    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/72/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/58    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/58/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/66    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/66/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/67    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/67/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/74/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/74    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/56    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/56/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/75    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/75/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/sa    -> REDIRECTS TO: http://metapress.htb/sample-page/
301     0B   http://metapress.htb/events/sa/    -> REDIRECTS TO: http://metapress.htb/sample-page/
301     0B   http://metapress.htb/events/68    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/68/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/85    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/85/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/111    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/111/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/76    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/76/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/59    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/59/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/69    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/69/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/120    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/120/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/80/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/80    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/81/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/81    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/77    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/77/    -> REDIRECTS TO: http://metapress.htb/events/
